fecha,año,ruta,operador,tipo vuelo,tipo aeronave,total personas a bordo,pasajeros a bordo,tripulación a bordo,cantidad de fallecidos,pasajeros fallecidos,tripulación fallecida,fallecidos en tierra,total fallecidos
1948-11-11,1948,"Liverpool, England",Mannin Airways,"Isle of Man - Dublin, Ireland",de Havilland DH-89A Dragon Rapide,8,6,2,7,5,2,0,7
1948-11-22,1948,"Near Ryzhovo, Russia",Aeroflot,Zyryanka - Srednekymsk,Lisunov Li-2,26,21,5,23,18,5,,
1948-11-26,1948,"Vehari, Pakistan",Pakistan Airways,Karachi - Lohore,Douglas DC-3,21,16,5,21,16,5,0,21
1948-12-05,1948,"Kiangwan, China",Central Air Transport,Chengdu - Shanghai,Curtiss C-46,40,37,3,9,7,2,0,9
1948-12-06,1948,"Milan, Italy","Avio Linee ItalianeAvio Linee Italiane",Milan - Brussels,Douglas C-47,7,6,1,7,6,1,0,7
1948-12-12,1948,"Taipei, Taiwan",China National Aviation Corporation,Shanghai - Taipei,Douglas DC-3,10,8,2,2,0,2,0,2
1948-12-15,1948,"Near Bogata, Colombia",LANSA,Bogota - Barranquilla,Douglas C-47,30,27,3,30,27,3,0,30
1948-12-21,1948,"Near Pilos, Greece",Ceskoslovenske Aerolinie,Rome - Athens,Douglas DC-3,24,19,5,24,19,5,0,24
1948-12-21,1948,"Basalt Island, Hong Kong",China National Aviation Corporation,Shanghai - Hong Konk,Douglas C-54B-5-DO,33,29,4,33,29,4,0,33
1948-12-23,1948,"Near Madrid, Spain",Iberia Airlines,Madrid - Barcelona,Douglas DC-3 (C-47-DL),27,24,3,27,24,3,0,27
1948-12-28,1948,"Off San Juan, Puerto Rico",Airborne Transport,San Juan - Miami,Douglas DC-3DST,32,29,3,32,29,3,0,32
1948-12-31,1948,"Mt. Argentari, Italy",Pan African Air Charter,Athens - Rome - Nice,Douglas DC-3,13,8,5,13,8,5,0,13
1949-01-02,1949,"Seattle, Washington",Seattle Air Charter,Seattle - New Haven,Douglas DC-3 (C-47A-DL),30,27,3,14,11,3,0,14
1949-01-05,1949,"Caravelas Bay, Brazil",British South American Airways,,Avro 685 York 1,17,11,6,3,3,0,0,3
1949-01-06,1949,"Brandywine, Maryland",Coastal Cargo,"Raleigh, NC - Boston, MA",Douglas C-47A,2,0,2,2,0,2,0,2
1949-01-11,1949,"Near Pelotas, Brazil",Viacao Aerea Gaucha S.A.,Porto Alegre - Sao Borja,Lockheed 18 Lodestar,12,8,4,12,8,4,0,12
1949-01-15,1949,"Ras-el-Tin, Egypt",Pan African Air Charter,,Douglas C-54 Skymaster,30,,,30,,,0,30
1949-01-16,1949,"Near Srinagar, India",Dalmia Jain Airways,,Douglas DC-3,13,4,9,13,4,9,0,13
1949-01-17,1949,"Atlantic Ocean, off Bermuda",British South American Airways,Bermuda - Kingston,Avro 688 Tudor 4B,20,13,7,20,13,7,0,20
1949-01-17,1949,"Near Succoth Glen, Lochgoilhead, Scotland",Military - U.S. Air Force,RAF Scampton - Keflavik - Kansas,Boeing B-29A Superfortress,20,16,4,20,16,4,0,20
1949-01-20,1949,"Homer, Alaska",Alaska Airlines,Homer - Anchorage,Douglas DC-3C,6,3,3,5,3,2,0,5
1949-01-30,1949,"Port Washington, New York",Pan American World Airways,,Lockheed L-749 / Cessna 140,35,23,12,2,1,1,0,2
1949-02-02,1949,"Trinity Bay, Newfoundland",Saint Lawrence Airways,Trinity - Rimouski,Avro Anson,10,,,6,,,0,6
1949-02-04,1949,"Castel Benito, Libya",Skyways of London,Khartoum - Castel Benito,Douglas C-54A-1-DO Skymaster,53,44,9,1,0,1,0,1
1949-02-05,1949,"Buenaventura Bay, Colombia",AVIANCA,,Consolidated PBY-5A Catalina,14,10,4,3,1,2,0,3
1949-02-08,1949,"Off Copenhagen, Denmark",Scandinavian Airlines (SAS),Paris - Copenhagen,Vickers 628 Viking 1B,27,23,4,27,23,4,0,27
1949-02-10,1949,"Near Huanuco, Peru",Faucett,Tingo Maria - Huanuco,Douglas DC-3,16,13,3,16,13,3,0,16
1949-02-19,1949,"Near Coventry, Warks, England",British European Airways / Military - British,London - Glasgow,Douglas DC-3 / Avro Anson,14,6,8,14,6,8,0,14
1949-02-24,1949,"Near Cuzco, Peru",TAM (Peru),Cuzco - Lima,Douglas C-47,26,22,4,22,20,2,0,22
1949-02-24,1949,"Braemar Resevoir, Hong Kong",Cathay Pacific Airways,"Manila, Philippines - Hong Kong",Douglas DC-3,23,19,4,23,19,4,0,23
1949-03-10,1949,"Coolangatta, Australia",Queensland Airlines,Coolangatta - Brisbane,Lockheed 18 Lodestar,22,19,3,22,19,3,0,22
1949-03-15,1949,"Berlin, Germany",Skyways,,Avro 685 York I,3,0,3,3,0,3,0,3
1949-03-18,1949,"Near Waikanae, New Zealand",New Zealand National Airways,Auckland - Wellington,Lockheed 18 Lodestar,15,13,2,15,13,2,0,15
1949-04-29,1949,"Near Mironovo, Russia",Aeroflot,Yakutsk - Kirensk,Lisunov Li-2,24,18,6,14,11,3,0,14
1949-05-04,1949,"Superga, Italy",Avio Linee Italiane,Barcelona - Torino,FIAT G-212CP,31,27,4,31,27,4,0,31
1949-05-04,1949,"Near Portland, Dorset, England",Bristop Aeroplane Company,Test Flight,Bristol 170 Freighter 31 Mark II,7,0,7,7,0,7,0,7
1949-05-07,1949,"Sibuyan Sea, off the Philippine island of Elalat",Philippine Air Lines,Daet - Manila,Douglas DC-3,13,10,3,13,10,3,0,13
1949-05-13,1949,"Near  Novosibirsk, Russia",Aeroflot,Novosibirsk - Moscow,Ilyushin IL-12,25,20,5,25,20,5,0,25
1949-06-06,1949,"Malahasa Attica, Greece",Tech - Aeronautical Explotiation,Kavallo - Athens,Douglas DC-3,22,18,4,22,18,4,0,22
1949-06-07,1949,"Near Florianpolis, Brazil",Military - Brazilian Air Force,Florianpolis - Porto Alegre,Douglas C-47B,27,21,6,27,21,6,0,27
1949-06-07,1949,"San Juan, Puerto Rico",Strato Freight,San Juan - Miami,Curtiss C-46D-5-CU,81,75,6,53,52,1,0,53
1949-06-23,1949,"Off Bari, Italy",KLM Royal Dutch Airlines,Batavia - Amsterdam,Lockheed 749-79-33 Constellation,33,23,10,33,23,10,0,33
1949-07-02,1949,"Near Guildford, Australia",Mac Roberston-Miller Airlines,Guildford - Darwin,Douglas C-47A-20-DL,18,14,4,18,14,4,0,18
1949-07-12,1949,"Chatsworth, California",Standard Airlines,Albuquerque - Burbank,Curtiss C-46E-1-CS,48,44,4,35,32,3,0,35
1949-07-12,1949,"Near Bombay, India",KLM Royal Dutch Airlines,Delhi - Bombay,Lockheed L-749-79-33 Constellation,45,34,11,45,34,11,0,45
1949-07-13,1949,"Jamnagar, Gujarat state, India",Indian Air Force,Training,Hawker Hunter,0,1,1,0,1,1,14,14
1949-07-19,1949,"Seattle, Washington",Air Transport Associates,Seattle - Chicago,Curtiss C-46F-1-CU,32,28,4,2,2,0,4,6
1949-07-21,1949,"Marga, Russia",Aeroflot,Krasnoyarsk - Irkutsk,Ilyushin IL-12,14,8,6,13,8,5,0,13
1949-07-30,1949,"Chesterfield, New Jersey",Eastern Air Lines / Military - USN,New York City - Wilmington,Douglas DC-3 -201D/ F-6-F- 5 Hellcat,16,12,4,16,12,4,0,16
1949-08-02,1949,"Jaquirana, Brazil",Varig,Sao Paulo - Porto Alegre,Curtiss C-46D-10-CU,36,30,6,5,4,1,0,5
1949-08-03,1949,"Sao Francisco Bay, Brazil",Lineas Aéreas Brasil,,Douglas DC-3,30,,,5,,,0,5
1949-08-06,1949,"Salasaca, Ecuador",Shell Co of Ecuador,Mers Nueva - Ambato,Bristol 170 Freighter 21,34,31,3,34,31,3,0,34
1949-08-09,1949,"Salalah, Oman",Military - Royal Air Force,,Douglas C-47B,12,,,12,,,0,12
1949-08-13,1949,"Near Bogota, Colombia",SAETA,Bogota - Ibague,Douglas C-47,32,29,3,32,29,3,0,32
1949-08-15,1949,"Off Lurga Point, Ireland",Transocean Air Lines,Rome - Shannon,Douglas DC-3 (C-54A-DO),58,49,9,8,7,1,0,8
